epoch,bbox_mAP,bbox_mAP_50
2,0.272,0.651
3,0.36,0.795
4,0.401,0.799
5,0.454,0.862
6,0.407,0.798
7,0.5,0.886
8,0.506,0.903
9,0.472,0.865
10,0.49,0.869
11,0.521,0.878
12,0.545,0.896
13,0.542,0.895
14,0.531,0.882
15,0.558,0.891
16,0.536,0.883
17,0.537,0.877
18,0.535,0.874
19,0.55,0.892
20,0.54,0.88
21,0.552,0.886
22,0.552,0.884
23,0.555,0.893
24,0.551,0.875
25,0.561,0.891
26,0.562,0.889
27,0.546,0.89
28,0.553,0.887
29,0.551,0.886
30,0.555,0.893
31,0.564,0.896
32,0.562,0.893
33,0.56,0.894
34,0.562,0.894
35,0.559,0.892
36,0.558,0.89
37,0.559,0.891
38,0.559,0.891
39,0.563,0.895
40,0.564,0.894
41,0.564,0.894
42,0.564,0.894
43,0.563,0.894
44,0.561,0.894
45,0.561,0.894
46,0.56,0.894
47,0.56,0.894
48,0.56,0.894
49,0.56,0.894
50,0.561,0.896
51,0.561,0.896
52,0.561,0.896
53,0.561,0.896
54,0.56,0.896
55,0.56,0.896
56,0.561,0.896
57,0.56,0.896
58,0.56,0.896
59,0.56,0.896
60,0.56,0.896
61,0.56,0.896
62,0.56,0.896
63,0.56,0.896
64,0.559,0.896
65,0.559,0.896
66,0.559,0.896
67,0.559,0.896
68,0.559,0.896
69,0.559,0.896
70,0.559,0.896
71,0.559,0.896
72,0.559,0.896
73,0.559,0.896
74,0.559,0.896
75,0.559,0.896
76,0.559,0.896
77,0.559,0.896
78,0.559,0.896
79,0.559,0.896
80,0.559,0.896
81,0.559,0.896
82,0.559,0.896
83,0.559,0.896
84,0.559,0.896
85,0.559,0.896
86,0.559,0.896
87,0.56,0.896
88,0.559,0.896
89,0.559,0.896
90,0.56,0.896
91,0.559,0.896
92,0.559,0.896
93,0.56,0.896
94,0.56,0.896
95,0.56,0.896
96,0.56,0.896
97,0.561,0.896
98,0.56,0.896
99,0.56,0.896
100,0.56,0.896
